"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Поставщик сервисов""";"=""""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""06.04.2015""";
"=""по""";"=""08.04.2015""";
"=""Время генерации отчета""";"=""13.04.2015 14:39:16""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""7228""";"=""7228""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из реестра похозяйственных книг""";"=""SID0001016""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""4026""";"=""4026""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""552""";"=""552""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Согласование маршрута""";"=""SID0001027""";"=""ФОИВ""";"=""Федеральная служба по надзору в сфере транспорта (Ространснадзор)""";"=""145183427552252931386885""";"=""Федеральный уровень""";"=""4856""";"=""4856""";"=""0""";
"=""Волгоградская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""164""";"=""164""";"=""0""";
"=""Волгоградская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Волгоградская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""Документ, подтверждающий принадлежность земельного участка к определенной категории земель""";"=""SID0001008""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1054""";"=""1054""";"=""0""";
"=""Волгоградская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""922""";"=""922""";"=""0""";
"=""Вологодская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Вологодской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""712""";"=""712""";"=""0""";
"=""Вологодская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Вологодской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""522""";"=""522""";"=""0""";
"=""Вологодская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Вологодской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""274""";"=""274""";"=""0""";
