"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Выберите период формирования отчета с""";"=""04.06.2015""";
"=""по""";"=""04.06.2015""";
"=""Время генерации отчета""";"=""20.07.2015 13:13:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"Сведения о неполучении ежемесячного пособия по уходу за ребенком в органах социальной защиты населения  по месту жительства отца, матери ребенка (для одного из родителей в соответствующих случаях), а также для лиц, фактически осуществляющих уход за ребенком вместо матери (отца, обоих родителей) ребенка, в случае, если отец (мать, оба родителя) ребенка не работает (не служит) либо обучается по очной форме обучения в образовательных учреждениях начального профессионального, среднего профессионального и высшего профессионального образования и учреждениях послевузовского профессионального образования";"=""SID0001019""";"=""ФОИВ""";"=""Фонд социального страхования РФ (ФСС)""";"=""2406836421125588969593853234949652492""";"=""Федеральный уровень""";"=""5""";"=""5""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Департамент образования Белгородской области""";"=""""";"=""SID0005153""";"=""ФОИВ""";"=""Министерство связи и массовых коммуникаций (Минкомсвязь)""";"=""427630227582249909378869""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Брянская область""";"=""РОИВ""";"=""Департамент образования и науки Брянской области""";"=""""";"=""SID0005168""";"=""ФОИВ""";"=""Министерство связи и массовых коммуникаций (Минкомсвязь)""";"=""427630227582249909378869""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2106""";"=""2106""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""602""";"=""602""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1428""";"=""1428""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Решение органа местного самоуправления о переводе жилого помещения в нежилое, нежилого в жилое""";"=""SID0001007""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""888""";"=""888""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Документ, подтверждающий принадлежность земельного участка к определенной категории земель""";"=""SID0001008""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""59""";"=""59""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""822""";"=""822""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""556""";"=""556""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1000""";"=""1000""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из реестра похозяйственных книг""";"=""SID0001016""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""441""";"=""441""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Волгоградская область""";"=""РОИВ""";"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""19""";"=""19""";"=""0""";
