"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";
"=""Выберите период формирования отчета с""";"=""19.01.2015""";
"=""по""";"=""25.01.2015""";
"=""Время генерации отчета""";"=""26.01.2015 16:39:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Белоярского района Ханты-Мансийского автономного округа – Югры""";"=""345688448052668147964201""";"=""Ханты-Мансийский автономный округ - Югра""";"=""70""";"=""28""";"=""42""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Березовского городского округа""";"=""580052999288078934754601""";"=""Свердловская область""";"=""1596""";"=""644""";"=""952""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Березовского муниципального района Пермского края""";"=""27408""";"=""Пермский край""";"=""169""";"=""70""";"=""99""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Березовского района Ханты-Мансийского автономного округа - Югры""";"=""126868170291784817053774""";"=""Ханты-Мансийский автономный округ - Югра""";"=""2086""";"=""931""";"=""1155""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Бесединского сельсовета Курского района""";"=""141332782879798110193975""";"=""Курская область""";"=""14""";"=""7""";"=""7""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Бисертского городского округа""";"=""2409526099744581949350053025075757068""";"=""Свердловская область""";"=""714""";"=""322""";"=""392""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Бисертского городского округа""";"=""2409526099744581949350053025075757068""";"=""Свердловская область""";"=""56""";"=""21""";"=""35""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Большегондырского сельского поселения""";"=""41712""";"=""Пермский край""";"=""196""";"=""70""";"=""126""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Большесельского муниципального района Ярославской области""";"=""110514113012496289692476""";"=""Ярославская область""";"=""217""";"=""91""";"=""126""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Большехаланского сельского поселения""";"=""562233367670202570903417""";"=""Белгородская область""";"=""210""";"=""84""";"=""126""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Борисовского района Белгородской области""";"=""148021458959099569900202""";"=""Белгородская область""";"=""504""";"=""189""";"=""315""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Борисовского района Белгородской области""";"=""236212223914237958820264""";"=""Белгородская область""";"=""7""";"=""0""";"=""7""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Брейтовского муниципального района Ярославской области""";"=""586667043684676153554585""";"=""Ярославская область""";"=""280""";"=""140""";"=""140""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Буденновского сельского поселения Сальского района Ростовской области""";"=""112668554572391289719525""";"=""Ростовская область""";"=""10""";"=""0""";"=""10""";
