"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Выберите информационные системы""";"=""(RRTR01) Информационная система Росреестра,(RRTR02) Информационные системы Росреестра""";
"=""Выберите сервисы""";"(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде,(SID0003187) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде";
"=""Выберите период формирования отчета с""";"=""01.01.2013 00:00:00""";
"=""по""";"=""28.02.2013 00:00:00""";
"=""Время генерации отчета""";"=""01.03.2013 14:01:07""";

"=""Идентификатор сервиса""";"=""Сервис""";"=""Общее время недоступности""";"=""Процент недоступности""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 19:28:25""";"=""20.01.2013 19:33:16""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 20:22:25""";"=""20.01.2013 20:27:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 21:03:25""";"=""20.01.2013 21:07:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 21:23:25""";"=""20.01.2013 21:32:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 00:13:25""";"=""21.01.2013 00:17:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 02:58:26""";"=""21.01.2013 03:07:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 03:23:26""";"=""21.01.2013 03:27:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 04:07:26""";"=""21.01.2013 04:12:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 08:32:26""";"=""21.01.2013 08:37:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 09:07:26""";"=""21.01.2013 09:12:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 16:28:26""";"=""21.01.2013 16:32:25""";"=""""";
